int,batch,p50,p90,p99,p999
1,0,70,73,77,77
1,1,70,72,87,87
1,2,70,72,81,81
1,3,70,73,77,77
1,4,71,75,83,83
1,5,74,84,89,89
1,6,76,84,96,96
2,0,70,74,100,108
2,1,70,72,86,87
2,2,70,73,87,88
2,3,70,74,86,88
2,4,75,83,108,121
2,5,75,85,100,102
2,6,74,81,92,94
3,0,70,73,83,89
3,1,70,74,85,91
3,2,71,74,85,87
3,3,73,79,91,100
3,4,74,81,93,94
3,5,73,80,94,109
3,6,74,83,101,122
4,0,70,72,84,91
4,1,71,75,87,89
4,2,74,83,96,104
4,3,74,80,87,87
4,4,73,79,92,96
4,5,73,78,99,112
4,6,73,78,93,97
5,0,71,75,84,85
5,1,74,81,92,104
5,2,74,80,94,106
5,3,74,85,95,98
5,4,73,82,100,162
5,5,74,81,95,106
5,6,74,83,106,159
6,0,74,81,92,103
6,1,76,85,95,99
6,2,74,88,100,129
6,3,77,85,131,156
6,4,78,90,100,156
6,5,78,91,102,105
6,6,81,92,138,179
